,0
229,nurse aunt bit old second ear nose throat department box face doe accept reception speaks solidly feel terrible nurse conscience love service thirty-nine want leave hospital without reputation ha good standard patient treatment lose people like hospital trying take consider improving section
19,good patient care staff old people find seat rest nurse speak pleasantly doctor friendly patient holding cute character
211,leading hospital treatment medical team appropriate quality service since er nurse walk create bad feeling beginning
173,sick father wa bone marrow atrophy provincial hospital sent hospital bangkok chose hospital wa free treat cost bone marrow penetration wa expensive nine hundred thousand baht collecting relative penetrate bone marrow help father doctor said cost pay pity father still treated
105,service available
64,nursing service good
245,several year ago used bring ama treat eye eye department hospital service doctor nurse considered moderate good bad service financial staff eye department bad manner reason time near noon staff close box say anything waiting afternoon hurry already asked official wait queue wait afternoon bring arama eat first officer said pressed queue pressed submitted drug document sit wait waited long time officer closed box got asked quot call queue queue two people waiting u thirty-nine know say thirty-nine queue thirty-nine pressed queue submit card press queue see say submitted drug document well name patient wa looking something like rubbish wa still looking trash bad hot head service terrible since never thought stepping hospital continue make doctor thirty-nine reputation good anyway service staff terrible another manner
48,antenatal care hospital doctor nurse say kind
135,excellent service
141,best thank every doctor every nurse housewife every nurse especially blue line medical team surgery daughter including four year medical student came take care talk encourage even though wa six day hospital felt safe thank
158,thirty-nine good service understand hospital ha lot patient
129,december first child wa born hospital doctor cut vertical wound pretty wrinkle cut horizontal u lose lot feeling
148,first time feel bad people driving car lift building
12,impressed wa thalassemia birth received blood hospital treated spinal cord transplantation caused abnormal symptom thalassemia disease cured hospital ha allowed live normal life like people still check blood time doctor ha arranged see dna body thirty-nine value also check eye well checked hospital
98,good service first time hospital clean doctor said
58,slow service lot people little doctor
188,tonight must travel hospital
156,know want talk doctor
43,doctor nurse good
153,good speech kind receptionist thirty-nine better needing loud voice thirty-nine good please disturb learn new manner people
160,parking difficult find park
50,good advice answer explain patient thoroughly tool modern treatment
89,mee ogas wa admitted hospital thai red cross general examination ear nose throat impressed every step service hospital volunteer nurse public relation officer ready give advice ask question clinic outside office hour patient queue lot convenient transportation including may bus bts skytrain government hospital good service like private
11,back surgery doctor kind far take good care smiling machine like old mri rarely breathe
196,good treatment queue long elderly go alone hard die
194,slowly follow style come doctor come find turtle walked walk hospital waiting doctor finish eating tell made appointment language work
47,thirty-nine good hospital good service good doctor day go morning good service booking queue sensitive hospital make u feel safe come treat disease meet doctor doctor kind suggestion give u detailed important treatment expert good doctor dispensing service wa waiting wa long hospital wide lot special room patient
227,sucking system appointment help time allowing patient sit wait business well knew doctor thirty-nine busy help change morning afternoon well specify clear time guaruay gou went another hospital long time cost medicine expensive system still bad work wait money go today
94,service good keep checking take lot appointment patient slow use computer system
144,le supervision insufficient personnel knowledge courtesy officer training think coming work receive salary
218,good work visiting doctor nurse quality bad inform chief officer
91,bree good
120,ethic doctor genuine partner separated
95,nurse speaks well doctor good
52,child naughty six spill looking like right
75,hospital patient best practice patient even patient much nurse dr kor never neglected patient treat everyone standard check ask history well never passed point pay attention every detail faith doctor nurse staff hospital
205,emergency department twenty-four june two thousand sixteen stitch father rat bad rubbish heel removed wound ha inflammation rot left day appointment would cut heel
115,wa born prematurely hospital never thought government hospital would able service quickly good like emergency kate 25week five gestational age first go check water swell lot vaginal discharge arrived hospital wa handed card wa shocked staff rushed find wheelchair sit staff wash history took waiting room check whether water wa real doctor examined history concluded wa really watery time fast everyone professional caring patient private hospital make feel impressed
138,come province six doctor entered office seven nine thirty-nine clock morning card slot wa still working playing mobile phone bad bad bad inquire bad manner
68,service system talking waiting section child thirty-nine department continuous follow friendly nurse good
69,father said school good take care child dad thirty-nine worry doctor
86,little bit interest buy rice thirty-nine ask scolded
8,nurse good speaking sharing class
217,come check one tell contact poor management system asked speak badly put nurse child pushing document car hurl speak well put lot emotion thirty-nine know maybe personal matter ha grown able distinguish work personal matter work service many patient
29,never treated first time doctor taken care wa recommended staff oversees good service clear clear every step thirty-nine fret take care patient order illness answer lot question good even though many people understand much like better private hospital care u like encouragement staff fight
1,public hospital includes many medical personnel
61,go doctor find good service officer feel good
202,went check appointment palpitation doctor went check ecg examination room second floor ha go pay money first floor first back 2nd floor complete examination pay heart disease true heart attack dead
35,please ask around end two thousand twelve used use department modern medicine second tooth cut would like know still today time went cut teeth first get need make new appointment depends time period service doctor impressive want dental department number cut teeth contact anyone know please tell thank
88,went heal many place felt good even though waited long time wa okay questioning treatment medicine see pay attention kind food eat anything give even though public hospital ha lot people enough serve
65,since officer including nurse doctor good service symptom irritability poor facial expression patient good treatment helping patient still helping good child next born hospital
70,every doctor well treated friendly time treat
186,appointment ten thirty pm check twelve pm ordered go x ray noon go x ray room make new tomorrow travel province waste time lose travel nothing manage job many hour doe doctor check get appointment patient fit person spend time patient x ray
244,paya went treatment er hospital doctor inject color eighty patient thirty-nine want patient still treated disinfectant medical student say patient treat need treatment
40,di lay chatttharat srisawat year fifty-two aged twenty-one twenty-two year age many stomach ache let generous taxi sent union mall hospital one hour lot people doctor come anywhere student doctor doctor check two hour told suri surgery ectopic stomach nhu thirty-nine set baht want go back home extreme emergency kindness death doctor fine burkun real edge
164,hospital yesterday made request blood thirty-nine get blood today submitted document like yesterday said sent two letter send document hospital room must died run run wait queue two half hour
190,good fortune teller bad system like today system right patient doe get medicine back home downstairs staff social security channel phraporn building also like put emotion face
167,time time always felt recognized hospital best medical institution even lot people never treated badly time father went check body prostate gland doctor one doctor check clinic outside time reservation exact system patient asks even though wa hurry knew assoc prof dr mor ha many go check money many place ability level still work government went check hospital went thirty-nine choose doctor good people good manner
242,improve talk terrible female nurse talking dog
206,treatment considered okay parking lot greatly improved patient came doctor time wa parking hospital die hard sick people relative come visit patient go car pump oil take taxi come private car large wealthy hospital recommended car like mall many layer support doctor nursing officer patient pay attention
204,came make direct disbursement grandmother submit document afternoon three two minute see mobile staff said time closed afternoon three talk badly come three pm close three pm go time time want know day contacted early thirty-nine come call two minute witness patient aged seventy-eight walk two minute guy come outskirt two minute
165,let patient wait long wait cut seven thirty-nine clock morning get midday cut wait appendix break work thirty-nine uncomfortable thirty-nine say anything
36,good separate disease well
119,hospital patient service good caring patient doctor specialized nurse care patient
66,systematic system patient service staff willing service take care patient around grill visit doctor time meant waited long time everything regulation system overall environment look clean safe
230,waiting long time bad management wasting time wanting better management system especially welfare student
103,use service discus keloid wound upper arm would like consult whether surgery done injected well make u comfortable decides wound injection use injection time several time reduce size surgery wa done kyloid wound could repeated someone interested keelid wound hospital another good option
195,anything slow patient wait ten thirty-nine clock six pm yet checked plus people come checked badly
200,twenty-four five fifty-eight go doctor thirty-nine comfortable asked medical certificate bully examination room nine asked kind need replied took office stopped working wrote wrongly murmuring really waste time asked asked therefore asked complain waste time wa little embarrassed thirty-nine think garden said wa afraid wasting time waiting wa named quot dr quot abbreviation feeling bad
191,bad service much press queue card sitting waiting last hour
220,thirty-nine want give star nurse mouth dog medicine medicine disease attached quot think brain big toe e officer said quot noamamattha rua quot relative let die lot think working service learning think go something else
137,many time need use patience make every time come matter good try think thirty-nine make feeling better think wrong thirty-nine knew wa u everyone used patience throughout year persevered hope becoming buried deeply rooted negative root
239,want contact disbursement department directly number ha acquired finance calling woman receiving call insert phone boring speak speak someone complain thirty-nine know something done service profession call eighty six hundred eleven three hundred sixty-nine stamped first time
250,shoddy doctor diagnosed without examining patient thirty-nine condition
125,well provincial hospital bad daughter sick nine year old twenty-two go back every three month
201,waiting long time use wait ten twenty-one thirty-nine clock morning
73,service doctor nurse good improve time wait long time wait long time well
237,bad hospital bad work system
207,uncle pain leg requesting pay first thirty-nine said people overtaking queue finance thirty-nine word say think people come hospital everyone sick
45,doctor nurse take care patient well especially gynecological department wa impressed
128,take long time every point contact including restriction drug private hospital public hospital
198,financial service room 9th floor much eye ophthalmology department work like patient smile together seriously ill
226,terrible style work delay patient go seventeen thirty got back hit one definitely second time
224,learn get employee tip foot say goodbye bad manner scratch top end front desk x ray staff channel one come receive treatment thirty-nine come begging
235,staff new building card room date eight two fifty-nine go hospital staff receive privilege counter two speak dog speak talk education park much person doe speak well nurse say badly barbaric like u people used go first time thirty-nine know ask speak well
172,bad wait 3rd floor file tell file 2nd floor 2nd floor tell file ground floor wait three hour terrible management system
78,wa impressed service doctor wa good
117,well many near death people born saka 1st state hospital heart
60,younger brother car crash brain drain broken skull first hospital bangmod wa wounded went see told brain wa damaged surgery two time one word doctor said make u cheer doctor said take brother first thing said doctor told take care surgery first blood high blood come side cut blood bleed lot shock hug sit cry front icu room fight dr kor told fight take brother first light lit immediately thanks doctor hospital
38,good advice medical team inquiry via internet communication faster convenient since online live registration online queue booking especially receiving medicine without go pick hospital send medicine thank much everything overall good sunday go treatment come review doctor service listen
121,doctor including nurse assistant hospital staff take good care use word listen polite friendly patient symptom arose rushed hospital doctor quickly came see symptom used sprayer spray make easier breathe better spraying wa still looking another period time recovered overall okay hospital
55,used go lasik good ha two year since ha outstanding result price also good cut may look scary wa really time thirty-nine hurt wa drop anesthetic dissection
21,used go watch ahma hospital two kres
106,find doctor clinic part time follow appointment measure pressure get queue card sit wait front doctor thirty-nine room defective thirty-nine know queue call name doe call number say sorted number give queue card
142,come see doctor seven thirty hr bring grandmother sit wait waste time three hour full check almost noon penalty blame person responsible system thanks nurse 13th floor
87,vast shady tree lot building cute nurse
102,well doctor good cause hair recover accident
110,good
22,service fast service process still clear
136,find parking difficult tired using practicing doctor check patient check patient every three month thirty-nine know anything
0,people come use hospital lot service still good
14,national level hospital go sick friend
101,abak said thank dr thawatchai nurse 9th floor phrapa building take care sick daughter sle well thank much
16,high standard service
222,nurse screening unit accident center emergency medicine four pm twenty-one november two thousand fifteen nurse sitting phone working patient come check facial seizure check thirty-nine ask patient said wa nothing wait yellow star clinic doctor said lung infection waiting foreigner take child check english refused call people talk mother walked sit cry understand many patient must understand public service choosing career make better want know name nurse inbox
246,long sound people close receiving treatment wa one donor foundation long time father admitted accident emergency room treated expected combined staff room especially nurse uncle spoke badly finally move hospital
104,initially entering er mae fall high fever got bed chalermprakiat building 4th floor ordinary bed allow relative watch nurse nurse nurse good impressive service
26,come cancer institute building dokkun service doctor speaks well nurse good good thing good know give good answer
116,treated scalpel skin department hospital 4th floor outpatient building good give least affected treatment used treated hospital still worried side effect recommend go time go weekday treatment fee cheaper special clinic personally used go clinic give good treatment queue thirty-nine wait long followed date appointment new patient one waste time one day make card 1st floor two come queue appointment three examination completed next appointment made
81,doctor nurse good experienced giving knowledge answer question well calmly speaking even though many patient
228,bad parking hospital invested make permanent label attached quot parking full quot forbidden park park made make doctor officer bad
28,good school place work take care patient twenty-four hour day almost three year
215,emergency room doctor nurse must ready work help sick went see lose lot feeling
122,brought child doctor hospital every month take child vaccinate fit teen mother project project good kor project good service good talk nursing student good french child gave birth one brother invite project overall service good especially structure ror por
140,wa feeling back home often tired must go
170,waiting long time
213,nurse spoke much told official say feel satisfied nurse collecting rule question wa answer doctor doctor sae hai kuro doctor die thirty-nine terrible growing big buffalo acting even old people talking bad terrible service thanks doctor staff help time good service
166,understand public hospital khun aunt help speak good thing aunt wearing glass 4th floor small body front central operating room cam bad
57,doctor kind
100,doctor good
233,requesting complaint treatment since admitted never answer never explain treatment process sick answer treat keep patient thirty-nine ask much question
192,nung goan
18,excellent amulet
23,well take care quite well
146,delivery queue card used press open cabinet time hit
6,well dad surgery
74,five day making heart balloon hospital thank doctor nurse care pay attention well please give goodness receive good thing forever mr sajee boonyankok hospital coronary artery disease heart balloon
20,"requesting permission seek help philanthropist private physical therapy nurse outside premise home come early morning special fee far away stay home anyone know assistant nurse please contact u nine hundred nine million, eight hundred seventy-six thousand, seven hundred sixty-seven please eight hundred fifty-two million, one hundred eight thousand, one hundred fifty-six mother mother thirty-nine walk many retaining line leg surgery cancer spread many place anyone know philanthropist thank help urgent please disturb mother fighting thirty-nine know find thank much help share"
