,0
13,"The hospital has a full range of tools, convenient, fast queuing. I am a patient at Rayong Hospital, sent for treatment by exercising 30 baht for treatment. The hospital has a good treatment. And nurses take good care of everyone There are steps to suggest Because I went to be a new patient Which does not know what steps The nurse is well recommended. Queuing for a doctor at first thought that it would be as slow as ever But went to the doctor very quickly"
14,"Located across from Lumpini Park The train or bus is convenient. Personally, I used to go to a health check service abroad many years ago. Every doctor, doctor, said good service, but when registering a new patient. Will be a little confused Waiting for a long queue Currently not sure if there are any changes or not."
15,"Mee Ogas was admitted to the Chulalongkorn Hospital, the Thai Red Cross, with a general examination of the ear, nose and throat. Impressed every step of the service of Chulalongkorn Hospital, volunteer nurse, public relations officer Ready to give advice. Ask about questions. It will be a clinic outside of office hours. Patients have to queue for a lot. Convenient transportation, including the May bus, BTS Skytrain, under the government hospital. Good service like private"
16,"Have a chance to see the doctor come 2 clinic is a skin clinic. With Naree Vej Clinic Impressed with every step of the service of the personnel here. Regardless of whether or not you have any questions or concerns, all personnel are willing to answer, smiling, even more. Not asking in a hurry. Like many hospitals that have been in Is about to see the doctor for almost half an hour Sit and ask our symptoms thoroughly. I&#39;ve just met here. The doctor talked to the patient for a long time. Found at the regular hospital that had been 5 minutes each time. The doctor hurried to"
17,"Treat many diseases here Give time to patients Very talented and talented But many patients have to wait a long time Even the special clinic is still a lot of people. But the doctor said well, paying attention to the importance of treatment Nurses too We keep here. The price is not expensive, the size cannot be accepted. In exchange for medicines and treatments received But want to make the system faster"
18,"There is a good queue reservation system. Nurses will recommend The first time he made history And recommend to go to a regular clinic if you do not want to pay for the expensive doctor And the doctor said very well But may have to wait for a long time, should go from five and a half to get the queue and to keep up with the doctor And the nurse who calls the queue has suggested that if you don&#39;t want to wait for a long time To do the matter in the emergency room For those who are sick Headache and fever Who do not want to wait for a long time"
19,"The hospital has a queue reservation system. And arranging very good patient records, prenatal care with Chula Hospital, doctor cares and Providing information on maintenance and antenatal examination Which is easy to understand with patients, giving patients the option to receive treatment and care for their children understandably and correctly Choose not guilty, trust and leave your baby with the birth at this hospital. Any mother is thinking about getting pregnant and giving birth at Chulalongkorn Hospital. And during the evening after work Or can go to the antenatal clinic on Saturday"
20,"Impressed by doctors and nurses Feels different from other government hospitals. In addition to being an expert and skilled doctor, there are other good and impressive features. I think it&#39;s wrong to choose to use the service here. Impressed by doctors and nurses Feels different from other government hospitals. In addition to being an expert and skilled doctor, there are other good and impressive features. I think it&#39;s wrong to choose to use the service here."
21,"The doctor here is very good. Dad kidney surgery on both sides Very skilled Which normally the case of Father is very difficult But the doctor did it successfully Nursing is good. But some people speak short Yelling at my father It was then that she was like being drunk with morphine. You answered a little. Should speak to you This is the only one here. Some nurses outside are good. Nursing buildings are new, clean and convenient."
22,"Chula Hospital is the ultimate expert in heart disease. Young children, little children can help with surgery. Thank you for saving your son&#39;s life. Let us have a strong son back. Thank you from your heart"
23,Go to the doctor and find a good service officer. Feel very good.
24,From receiving medical treatment and a doctor at the operating room is very kind To encourage
25,Nurse speaks melodious and easy to understand.
26,Is an effective treatment Can wait
27,Doctor officer Happy to give advice
28,Front line team There are a variety of specialized doctors and patient cases that are difficult to support effectively.
29,"A lot of people because it&#39;s a public hospital Waiting for a long time Than to meet the doctor, the treatment fee is exercised 30 baht to cure all diseases Phaya Balai is kind. Like to explain before doing anything, like before injecting, he will tell you what to do, but really a lot of people."
30,"Just cut through the second child in October 59. When I go to check every month I don&#39;t like Because waiting very long But every time he felt that all the staff were working hard Beaming Provide very good information Until the birth of the child is very impressive The nurse cares for the patient a lot. Check the whole night Please help to smile. No complain Unlike some private hospitals Late night need help Ringing the bell like just waking up, not smiling at all, but a doctor and a nurse who is good Very good patient care and most importantly, the cost is not too high. But it is inconvenient that if you want to swipe a credit card, it must cost one thousand baht or more"
31,"On the morning of 17 Jan 2017 Went to use the service at the pediatric department The waiting period is typical of the general public school. Staff provide good information There is coordination from the registration point, the screening point, either the elevator or the various counters do not drive. But until some people may sound stiff Our children are vaccinated. But the trainee doctor and the teacher who is the teacher helped to see other symptoms as well. Very impressed because if it was a sub clinic Other private clinics or hospitals will follow the prescription, ie vaccines, vaccines. Do not check or observe anything more The conclusion is that our children are pale. So I had to have a blood test. The doctor gave a lot of information. Really impressed And now waiting for the results"
32,The medical students are very good. Ask the symptoms before entering the examination and check very well. The teacher is very good and ready to give us advice as well. I like it very much.
33,Dr. Jaidee checked the dental health every time the tire changed.
34,It takes a long time in every point of contact. Including restrictions on drugs that are not between private hospitals and public hospitals
35,"In December, the first child was born. Chulalongkorn Hospital The doctor cut a vertical wound is not pretty. It wrinkles. Why not cut the horizontal for us Lose a lot of feeling"
36,"Father just went to see a doctor at Chulalongkorn Hospital. The past plan is to impress all the doctors, nurses, pay attention to the patients very well. Can feel that everyone works with the heart Ask what everything is smiling. In spite of many steps, perhaps asking secretly But the brothers explained Long waiting period Because many patients There was a nurse who came to introduce the procedure in the appointment if there was a need. There are encouragement for patients with circular planes. Which has never been before Although many patients But the elder brother, Koch, was smiling. Refreshing everyone Make you feel comfortable and get lost in treatment"
37,"It is a hospital that has a lot of patients waiting to be examined and waiting very early in the morning. Each person waits at least 5 times And when he arrived, the uncle of the guard But receive the queue card through the nurse screening only, not to check Come to check each time, take 1 day Here, each city hospital"
38,"Ie my wife and I went to the antenatal clinic, which is a public hospital Today we went to the first time to set up early in the building. Phor Phor, about 5 times more than many people, can get a ticket. I was so frustrated that my wife almost fainted many times (555) than having to queue for a card, waiting for an hour to see the doctor, which was considered very long. But when you see a doctor, the nurse here is not as good as the idea is to see the service very well. The word is given to go to make the card until the antenatal care is finished. Which is not different from Private hospital. My wife and I are very tired of waiting for a call and waiting for the examination to be finished. It&#39;s almost cool. Compared to private hospitals, here is cheaper and more economical and compared to services. I think it is worth it. May have to be a bit slow because a lot of people, but if you go, you will be impressed by the service like I and my wife have today"
39,"Good service, cute nurses and lovely staff."
40,Go to a part-time clinic Doctor Have follow-up treatment results
41,"The younger brother had a car crash, a brain drain, and a broken skull. The first hospital in Bangmod was not wounded, so he went to see him. She told him that the brain was damaged. .. surgery up to 2 times. There is one word that the doctor said makes us cheer. .. The doctor said .. take only your brother first. Other things are said. The doctor told me to take care of the surgery. First, because the blood is so high, the blood comes to the other side. If you cut your blood, you will bleed a lot and shock. We hug each other, sit and cry in front of the ICU room. I will fight .. and then Dr. Kor told me to fight .. take only my brother first ... the light that is lit up immediately ... thanks to the doctor at Chulalongkorn Hospital"
42,"I was admitted to the hospital (special clinic, pulleys, office hours). The first step was to make an ID card first. And must be referring to the doctor as well Since I had already called to the hospital and had booked the appointment with the doctor, the nurse would ask the name and illness and make an appointment with the doctor. At the time of the appointment, he met with the doctor. And considered very punctual Don&#39;t waste time When finished Can go to pay and pay But this process will take a little longer but not more than 20 minutes Because they have to wait to receive drugs and pay at the same time in all departments, resulting in a large number of queues But overall, I was very impressed with the service of the hospital. Because everyone is polite, good-natured, and the doctor of this place is very good."
43,With high standards and services
44,The doctor is very kind.
45,"Service is a system, if not talking about waiting. In the section of the children&#39;s department, there is continuous follow-up, friendly nurses are good"
46,"Good advice Answer, explain the patient thoroughly And have tools Modern treatment"
47,"The class is a patient of osteoporosis. And hip bones deteriorate, not easy to walk Often going to the hospital, have to walk to check the various buildings which are very far apart. When Dit asks for help by requesting a wheelchair Often receiving a reaction to the color that indicates the annoyance that Di Lay does not have a relative to wheelchair (which the class cannot find relatives with because of many necessities). But does not guarantee how many hours! Because having to wait for the building staff (where the class wants to go for treatment) And the pain is 4-5 people sitting down to talk to each other without being interested in another class. Both queue extension systems Blood tests were changed almost every time they were treated. The staff did not respond, causing the D-class to walk up and down several times Some of you can&#39;t tell you to leave (Social Security). Must go down to take the card Continue to cycle again There are still many, not all."
48,"I am another patient Who had been admitted at Chulalongkorn Hospital For nearly 2 months, he had to stay as an inpatient at this hospital. I got the right to use the gold card. ...... The first feeling of treatment Still not feeling anything special The first thought is This is a public hospital. Can be compared to other places? Reasons to think like this Because he had heard other people Speak figuratively, and always hear. In terms of service Of the state hospital But after I got into treatment, I didn&#39;t have a bed. Because the patient is very sick Therefore having to sleep in the emergency room To wait for an empty bed Feeling that can be touched With what had been heard all the time It&#39;s totally different. I was treated very well. From both the medical team Medical student The staff of the hospital have passed 5 days until I get the bed and the dormitory, keeping the feelings and things that have been treated to me, must be appreciated by the heart, care, visit, fever, examination, diagnosis. The medical team carefully studied the symptoms of medication, use of treatment methods and many other things that I received from this hospital. Date to travel to Atmin Thinking only to have the opportunity to return home? Or will have to end life at this hospital But last With care for patients The knowledge of all the doctors who devoted their body, mind, mind, and wisdom made me come home. Come with safety until today, I still feel the magic. Received from Chulalongkorn Hospital And will never forget the benevolence of a former patient who had almost taken his life back."
49,International standard
50,"Arrived, the first person was shocked! The queue is inserted into dozens."
51,"Many people, good service, just come to the 2nd time. There have been many occasions."
52,"Would like to appreciate the doctors and gynecologist nurses in the building, P.P., which is 2-3 times in the hospital Because we were late Travel from Sriracha, Chonburi. Can not find the car next to it. But today I checked with the doctor. Feeling at ease Nursing service is very good. Impressed, so there is encouragement in treatment. Previously admitted that he was very discouraged, crying every day. After coming here today, thank you very much. You look very attentive and give advice."
53,Everything for us .. excellent
54,Peace of mind near the good doctor
55,Always dependable
56,Thank you to the doctors and nurses who take good care of the patients. Sometimes may not speak well
57,Doctor and nurse take good care. Understand the patient. Smiling.
58,The service is very good. Pay attention to patients.
59,"Normally, this hospital is good, clean, used to take my mother to treat the mother better, but is a waste of money? .... But"
60,"URBAN. Wailing. Chulalongkorn gives everything, every staff member is well-being. Everyone, I wish you all the gratitude of, R. Chula."
61,Very good staff The assistant smiling The mother sleeps the hospital. Don&#39;t watch. But have a good assistant Reduce half of worry
62,I have to go to the physical examination here every 3 months. It is the government hospital that takes care of the sick most. Thank you to every doctor.
63,"With modern, excellent staff ^ _ ^"
64,Very good because I used to take my children.
65,"The little part that will find good nursing services The more the building has been built People supporting the skin more than others Really old, not accepting requests New nurses are good. But don&#39;t know for a long time will be like those for a long time or not Do not understand that Thailand Government hospitals, why this? If you don&#39;t have a code of ethics to be a nurse, why? Go to do another career I believe in the doctor only, otherwise I will not come to use the service for sure. Should have a rating like the bank Before raising salaries Allow users to rate Any person who gets a lot of complaints doesn&#39;t have to raise salary. See if the service is good. I am a national football team for over ten years. But come to despair from the Thai people together Hopefully my post will go to the director of Chula Hospital. Would have read"
66,It&#39;s really hot.
67,"Is a nursing home with a number of senior patients receiving treatment Good service, good queuing system Which is very convenient for patients who have been in the past, but new patients are quite troublesome about the various service systems that are separated. The public relations question was answered briefly, rarely explained. But concluded that the service is much better than other provinces Especially when accessing the doctor, Dr. Chao, so kind Describe well and heal with extreme power. Do not give up easily Honoring"
68,Dr. Keng very much. Thank you Dr. Rungsak. Brain Surgery Doctor That healed me Have a new life better
69,"Never used the service, thinking that it is a hospital with high standards"
70,"The child is a fever, take the child to check the time 17.00 Until 18.17 Haven&#39;t checked The nurse said that the history has not yet arrived. The need for another half hour, the fever is not measured. Seeing the nurse, working mother, child, fever, headache will be worse, but the nurse is not doing anything. Pay cash. No more. What do you do very slowly?"
71,"Very bad .. The patient waited very long .. The system is delayed ... How many times is the same .. If paid by yourself .. call very fast .. if free .. wait very long .. the staff mingled but talk .. I am straight in the box .. 1-5... 9:00 o&#39;clock and not yet .. Check queue .. # When sitting and looking at the staff. Observe for a long time... Mee, but talk .. giggling ... come to work or come to talk .. sometimes walk over here ... boo ... bad .. the hospital .. it&#39;s big .. the front system is better .."
72,5 days of making a heart balloon at Chula Hospital Thank you to the doctors and nurses who care. Pay attention very well Please give goodness to all of you to receive the good things forever. Mrs.Sajee Boonyankok # Chulalongkorn Hospital # Coronary artery disease # Heart balloon
73,Excellent service
74,"Since being admitted to Chulalongkorn Hospital for 3 years, the medical team has taken good care of it ... It feels very good. Thank you for paying attention to patients at all levels."
75,"Special room is ok The normal room didn&#39;t know that it was still, never used the service. (But not used will be better than 55)"
76,Wait for a long time
77,"Find parking very difficult Tired of using a practicing doctor to check the patient and be a check-up patient every three months, but don&#39;t know anything at all?"
78,"Good service, modern medical equipment"
79,"A lot of work, the staff would not be able to do sympathetically. Thank you for working hard for the people."
80,The doctors here are very good.
81,Underwent brain tumor surgery in 2010 with the appreciation of the great grace of the doctors and nurses
82,"Come to conveniently, but without parking, some officers speak and service is not polite"
83,Is a place of honor Is the dependence of the poor when sick
84,"Explanation of the procedure for treatment is very good. Listening is easy to understand. The orthopedic doctor and nurse are friendly, not fierce .. Good place, clean, neat. Shady. Called 5 stars."
85,"How many times will you need to use patience and make every time you come? No matter how good you try to think about, you can&#39;t. Makes the feeling better Can only think wrong at me It&#39;s here. Knew that there was not only us Everyone used patience, but throughout the years, he persevered here, from hope, becoming buried and deeply rooted in very negative roots."
86,"Come from the provinces from 6 am The doctor entered the office at 7-9 o&#39;clock in the morning. The card slot was still not working. Playing mobile phones can be bad, bad, bad, and so on. Inquire about the bad manners"
87,"Many state hospital nurses have improved their appearance and service. I do not think Chulalongkorn will continue to provide services with facial expressions and facial expressions, as when there was no social network."
88,"I&#39;ve been like too many people, walking to find a building difficult because there are many buildings, people never get confused."
89,Thank you very much for taking care of the people in the provinces like us. Very good. Help and advice are very good. Both doctors and staff are all.
90,"Until there was a feeling of being back home often, so tired! Must go"
91,I have a new life here. Thank you to all the nurses who give new life.
92,With this stamp Say it super cool. Excellent service
93,"Best of all Thank you to every doctor, every nurse. All housewives And every nurse Especially the blue line medical team The surgery for the daughter, including the 4 year medical student who came to take care, talk and encourage Even though he was only 6 days in the hospital, he felt safe. Thank you most."
94,Very good
95,"Good service, caring for patients, providing very detailed consultation"
96,The service is excellent.
97,"A lot of patients go to hospital, have to think about the doctor and all the staff members."
98,"Come to see the doctor. 7.30 hrs. I have to bring my grandmother to sit and wait. Waste time because you are 3 hours full Than to check almost noon The penalty is to blame, not the person responsible at all. No system! But thanks to the nurse on the 13th floor."
99,"Good service, polite staff Treatment is not discriminatory, regardless of the gold card or the money itself. The staff are friendly with the patients (being relatives, patients who use the service at the endoscopy room)"
100,"Take the father to break up the cataract Service is better than expected. This department The nurse is very good. Introducing the procedure for wound care both for patients and relatives as well, being friendly, smiling and answering questions. On the way back, he saw my father. The symptoms were not good. He called the golf cart to get to the building and brought him to the building of the Phor Por. To go to the subway. Impressed. Would like all departments to be like this."
101,"Well, many near-death people were born. And Saka is the 1st state hospital in my heart"
102,"Today brought fans to punch the annual kidney examination. The doctor came to stand on the subject at room 35. When finished, Pi Room 35 To stand to check documents, wipe out social rights But the person responsible for both donations. And then let us walk back and forth. Not finished The examination room is not good. Not suitable for service work. (Room 1 Check the right) Very bad. Thank you, Brother. 35. Table 2. That helps to complete the story"
103,A little more
104,"Very good as I had patrolled The doctor opened the opportunity for patients to talk about the symptoms in detail, once they met. The key to this is the service. A lot of people Shouldn&#39;t do well There are only some points / and some officers only That looks frustrating But very little is found"
105,The use of government hospital services must be made in mind. The private hospital continues to wait.
106,Waiting for a long time. Calling to see a doctor was wrong.
107,best
108,"Less supervision, insufficient personnel knowledge But the courtesy officer here Some training Just think of coming to work to receive a salary?"
109,"But because of a variety of situations, I believe that Chula Hospital is one of the few best places in Thailand."
110,Excellent
111,The doctor is very handsome too.
112,Father went to check at the hospital. Submit an appointment card in the morning But can&#39;t find the patient&#39;s history once What kind of work Can contact me back The true story that never developed
113,The delivery queue card that is used to press the open cabinet (time). What is the hit?
114,Very good
115,"Is a good hospital, another hospital in Bangkok"
116,Had heard but didn&#39;t want to go
117,Kun is very cute.
118,"The parking lot is very small for the therapist / There is only the parking lot of the doctor and the nurse and the luxury car of the person who has money ... It should be improved, but I don&#39;t know when to do it once ... Sigh ... !! !"
119,"Good service, good doctor system, modern tools"
120,Beautiful nurse
121,Good for the hospital.
122,Very much
123,"Good doctor, good, but don&#39;t ask about parking ..."
124,"National standard The patient had to hurry and make mistakes, so the doctor wrote a prescription quickly. The pharmacy didn&#39;t read clearly"
125,"Good service, good doctor."
126,"Well, my dad had surgery here."
127,"Spread the emergency face, speak badly, bad, not service (play, but the phone doesn&#39;t care about the sick)"
128,"Thank you to the doctors and nurses and all staff. Who takes care of Grandma and Father, wish you all happiness healthy Working happily forever"
129,Grandmother after treatment (Chulalongkorn Hospital)
130,The doctor and the nurse take good care of it.
131,"Doctor, Nurse, Staff But public relations volunteer Who are waiting to queue for screening, speak badly, take a look at the police hospital work"
132,"First time, I feel bad about people driving the car to lift the building."
133,Saw the hospital Thought that he would not like everyone
134,Good
135,"Good .. I want to use Cover the MP here, but I think it should be full."
136,"Vast, shady, trees, lots of buildings, cute nurses"
137,"A lot of people wait a long time, but good."
138,"Very bad to treat the skin from 7 o&#39;clock in the morning. Now 10 o&#39;clock, still not healing. People who come to the back queue first Do not know how this system How can I pass the standard? Very bad. The staff speak very badly."
139,Very good treatment
140,A lot of patients .... It is encouraging until all of you ...
141,Very good. This hospital has been born here
142,I went to Mana. The service is very good. The doctor is kind. I leave the medicine fee for me too.
143,"I like this hospital very much to wait for a long time, because he has a lot of patients and is steaming. Today, I don&#39;t know how to curse us. When we got down, he saw him down and followed him. He said to his friends behind us that Buy one flower, not a cough, bad guys Because he came to ask us to buy as well."
144,A little confused ... because of the many buildings
145,"Good service, very good doctor"
146,"Dr. Weng, daughter survived here."
147,"Mother admitted to Chula Hospital With an anal lump From January until now Doctor Nuek Kyu will give the surgery, but very slowly Until the memory is not good, lost, forgotten, blurred, talking, not remembering, even before coming, mother, good condition, normal, everything, pity, mother very much Previously, the patient had a good feeling of being able to come to this hospital, but now it is not possible. Is there any way to make a quick treatment? Until now, the patient has 1 additional lump of meat The patient has pain and wants to cut off his leg."
148,Even though many people have to wait
149,"Take the girlfriend to surgery for the second time without ever knowing anyone before coming in ... Received equal standard service and always images. Payabab, Chareon-Somsri Building. Impressed."
150,"So, the son waited for three years to come and see."
151,"Abak said thank you Dr. Thawatchai and all nurses in the 9th floor of the Phrapa building that takes care of the sick daughter. sle all too well, thank you very much"
152,Thank you to all the doctors and nurses who take good care of Really appreciative. Think of good friendships that are so good.
153,good
154,Good speech This kind of receptionist doesn&#39;t have any better. Needing a loud voice Isn&#39;t it good? # Please disturb to learn new manners too # Some people
155,Very good service
156,"Do not want to see the sick, do not want to go to the hospital, but the work done must be seen."
157,"The service is very good. Father, I come every month. Good service, lovely, like the doctor until the nurse. Please keep this standard forever."
158,Sitting waiting for half a day But not less than 5 minutes Sigh .... His system is good.
159,I know that I want to talk to my doctor about what I should do.
160,Top with Doctor
161,The garbage collector of Chulalongkorn Hospital is great. Words can&#39;t be heard.
162,He&#39;s a good service. You can understand. It is a hospital that has a lot of patients.
163,"Waiting for a very long time, but the doctor explained very well, making it easy to maintain the conclusion that I like this hospital."
164,Is a public hospital that includes many medical personnel
165,"A good school for me is a place to work and take care of patients 24 hours a day, almost 3 years for me."
166,"When the service is broken, when will the service system be developed? Especially the staff who speak the dog is not Do not want to come to work if you don&#39;t want to come to work. Let the person he really wants to work for !!"
167,Very good
168,Quality for 1st place&gt;
169,Good service
170,"Day 21, June, come to surgery. Doctor and nurse are very well cared for. Thank you very much"
171,"Everything is fine, sticking alone Room No. 35 Pan Pan received patients in the Chakrabongse building, the obese staff, and the hair cut on one side. The face is not willing to work. The questioner responded with an unsatisfactory voice response. The patient went to stand and asked, did not look at the face, and did not answer. Listen to music. See mv."
172,Parking is difficult to find at the park.
173,Start using the new queue card system. People are very crowded... Keeping healthy. Don&#39;t get sick.
174,The family has used the service here.
175,"Good service of personnel, even if the work is heavy, can still take care of And heal well Thank you to everyone."
176,There is no compassion for this school.
177,"Good service, who is not comfortable to treat"
178,"Thank you to all the doctors and nurses, but improve the older nurse who likes to shout. I saw a pity."
179,Good doctor
180,"Emergency department, doctor, cute, nurse is cute ... take care"
181,"Some patients will die and not die, but the doctor says nothing. Can&#39;t detect the cause Went to many hospitals and lost a lot of money Everywhere the doctor said that it was nothing. If you go out and try talking to me"
182,"Wrong with the thought. Very good staff. Like aunt who presses the queue card. Very kind, press many times, no more, no complain Next time, take the candy to leave."
183,National level hospitals Most of them go to be sick friends.
184,"Oh, so good, like being good. Lastly, have to wait to see what will be."
185,"Good, very good"
186,"Emergency room nurse Can show very bad verbs as you can see If explaining with that kind of verb Don&#39;t have to say Don&#39;t have to be a nurse It is contrary to the white fairy dress. If an executive sees it, it should be improved with strong manners. You work for service Patients or relatives have a lot of questions. The story is great because it is the health of the person he loves. It is death It is not normal that relatives want to know what patients will be. Or have to wait or continue Even if you are annoyed how much you shouldn&#39;t show that design or that way"
187,Used to appreciate the friendly service But today is the first day that I feel that the problem is not solved. Some service departments are selfish and shirk their responsibilities. Just to prevent the department from having more burdens
188,"Well, the doctor is very good. Can cause the hair to recover from accidents"
189,Very good service. Personnel are all good minds.
190,"The doctor spoke well, analyzed the disease reliably, but the staff in front of the examination room spoke badly. The explanation is not clear. Speaking to patients with short, latent, annoying appearance when the patient does not understand. Unclear words .... To improve the staff a bit, the doctors, nurses are very cute ... how much appreciated"
191,"Chulalongkorn Hospital, yesterday made a request for blood but didn&#39;t get blood. When today I submitted documents like yesterday Said that he only sent the Rama 2 letter to send the documents to the hospital room. Must have died? Run up, run down And wait for the queue 2 and a half hours"
192,"Thank you for taking care of my body for 31 years. Come here, take care of each other here. May the three queens prosper Founder of the hospital"
193,"Let the patient wait very long, wait to cut from 7 o&#39;clock in the morning to get a midday cut. Wait until the appendix breaks. How do you work? It&#39;s uncomfortable. Don&#39;t say anything."
194,"It is also a lot of people who want to improve in speaking. Guests who use the service more because it is a very famous hospital, another hospital in Thailand. If you wear a white dress or work in one department Then came to say this, and it seemed that the character of the common people came out. Don&#39;t forget, your salary comes from taxes. He also summarizes the new training. Thank you."
195,"Good service, healthy speech ... Very good advice."
196,"Just go in and heal here Was impressed by the doctor Nurses here a lot With a smile that gives Everyone treats us, not just using drugs, but using our hearts to make me feel good. Like not being sick at all"
197,"First time, the service of the hospital is very good."
198,"Is that I understand That it is a public hospital, but Khun Aunt helps me to speak good things. # Aunt wearing glasses on the 4th floor # Small body # Front of the central operating room #Cam very bad"
199,A lot of people wait a long time.
200,"The building of P.P., Chong, which is waiting for the queue is very slow. Wait longer to get to the next station."
201,"Well, because I use the services of the whole family hospital."
202,"From time to time I have always felt and recognized. With myself, Chulalongkorn Hospital Is the best medical institution, even if a lot of people But I have never been treated badly, but this time my father went to check the body. The prostate gland here with a doctor, one of the doctors who will check the clinic outside of the time, will have a reservation for the exact system. But why when the patient asks Even though there was a hurry, I knew that Assoc. Prof. Dr. Mor has many more to go to check for more money here. But if you have many places With the ability level Why still have to work with the government that I went to check in at Chulalongkorn Hospital because ... went there Don&#39;t have to choose a doctor There are all good people and good manners."
203,"The toilet is smelly, no paper for the creatine. The afternoon is very dirty."
204,Is a very good hospital
205,"Come to the Cancer Institute Building, Dokkun service. The doctor speaks very well. The nurse is good, so good things are all good. What we do not know if he will give a very good answer."
206,"The doctor said well, heal very well, no matter what he trusts, treatment here more than many private hospitals, hospitals. But what is the nurse (some)? And very confused Both with automatic locker, queue 169, finish screening, what is finished, no. 062 !!! Well, it&#39;s bad. People press the queue card first. But still do not finish much But people have finished waiting for the doctor&#39;s queue and have not waited for 100 more hours for a few hours !!!"
207,Very good service ..
208,The doctor and the nurse are all good.
209,Hi
210,"# Some low-priced nurses! Reiterate. Some people choose to practice! Mention the name of the nurse Nawamin Building Practice the patient to get the heel We came to sleep for 5 days, never changing bed linen once, not much, but when another nurse would change She hurriedly told me. Don&#39;t be tired! (Plus do not face) is tired enough But what happens before this face?"
211,"Good service, good atmosphere, but many patients, almost every day."
212,"Very bad, both the doctor and the nurse. The more the nurse, with the wood, must talk about the value of the person in cold blood. The medicine is still good. The doctor knows that it&#39;s true."
213,"Thank you to the doctors, nurses who take good care of the patients. Use the service twice"
214,Surgical examination room staff Not smiling face Speak disrespectfully to patients
215,"Rooms, patients&#39; relatives in front of the emergency room, when the air conditioner will be repaired once"
216,Waiting for a long time !!
217,"Have a health check, wait a long time"
218,"The doctor is very good, very brutal. Recommended !! Acting really fast! I guarantee !! PS Doctor is handsome, nurse is cute too ^^"
