,0
49,"I started treatment at this hospital for 6 consecutive years because of the hepatitis B virus. The first treatment is difficult. And spent a lot of time Because it is a new patient But after that, when the next appointment has been made Not how long There is a part-time clinic for appointment. If it is inconvenient to come in during office hours Maintain the symptoms for many years. Viruses, hepatitis values are reduced. But with cirrhosis Because living before treatment, do not take care of yourself, underestimate the risk. Keep the ultrasound to see the liver meat. Until February 1973, it was found that there was a lump in the liver that made MRI. The doctor diagnosed with cancer. I used to ask the doctor if I had cancer. Did I die? The doctor can tell if he can know quickly. The doctor who takes care of the liver sends me to see a surgeon by hiring a doctor to diagnose the surgery. And explain how to treat me thoroughly By forwarding it to Dr. Radiation to do the first step Is to give chemo to the lump To inhibit the growth of it The radiological view of my MRI is interested in the lump. Because it doesn&#39;t look like cancer cells So ask to cut that lump. Rules that yes But not cancer caused by liver meat But is a bile duct cancer in the liver Subsequent work, radiologist Appointed me to fill the vein in the right liver with a lump. Allow it to scare After that, I nourished with a lot of protein. In order for the liver to grow in the side that does not have a lump For ready for surgery After one month passed Doctor Salma check my liver size It grew up reasonably. The doctor made an appointment. Before surgery, I was very scared. But after surgery It&#39;s seem nothing heppen The doctor cut my liver 60%, according to the doctor&#39;s statement. But I do not have any symptoms, can still live well But had to follow up the symptoms periodically. After 4 months, the cancer had spread to the lymph nodes in the abdomen. From monitoring The doctor said that he had to give chemo. So sent to the chemist. Chemotherapy doctors describe procedures and methods of treatment. At this stage, we will not be devastated. As a cause of calm Non-aggressive cancer cells do not grow. Now, I keep chemo for 4 consecutive times with 2 consecutive weeks, except for 1 week, and then stick together for 2 weeks, a total of 12 times, equal to 6 needles. Doctor says that giving 2 The sun is 1 needle. It won&#39;t help too much for me. Because the drug has passed 4 times. Fortunately, I have no allergies, not vomiting, eat a little numb. Overall, okay. Never discourage, believe in doctors who treat. And advice Good care nurses every time coming to the hospital Question and answer in every question I will ask for blood results to look at the liver values, cancer values, kidney values, blood values, by allowing the nurse to explain them. Because they want to see their physical condition forever Thank you to the doctors and nurses here that make me confident in not being discouraged."
50,"Is the dissection of the doctor, Dr. Niran is very well taken care of"
51,"Go to the doctor because of abnormal hormones At first I thought that Siriraj had to wait a long time because of the gold card rights, but it appears that now the hospital has developed a very good system. Wait for less than an hour to see a doctor and receive the medicine within thirty minutes after the examination is completed. Dr. Weng and give good advice Nurses and staff provide a very systematic and helpful service and assistance. At first, thinking of going to the gold card to wait for the whole day and encounter bad service. Siriraj nowadays has completely erased old beliefs."
52,"The hospital with the most patients But best practice to all patients Even if the patient is how much Nurses and Dr. Kor never neglected patients. And treat everyone in the same standard Check the same Ask the history as well. Never passed any point Pay attention to every detail, faith, doctors, nurses and all staff in this hospital."
53,"Social security staff, service is very good, lovely, kind, amiable, pretty, kind, everyone. Aircon room is cool. Think of sleeping hotel 555 Personally, I like very much. All levels of service are impressive. Must be Siriraj. Waiting to wait for the blood results to be concluded as an inflammatory bowel, sleeping half a day back home."
54,"Mothers must check from many doctors. And each of them does not link to each other, causing to have to go to the hospital for many times"
55,"Met with a gynecological doctor at Siriraj Hospital to check the follow up (follow up) on the lining of the uterus He is a lovely doctor, a female doctor. He is smiling and friendly. Wash our history with gentleness to patients. Tell us that we are suffering from this disease. And suggesting how to act The teacher explained thoroughly to us. Makes us feel very safe and warm heart And more importantly, he teaches medical students using our case Look at him. Explain to medical students that he is both very good and compassionate for both patients and students. Feel the same as seeing the most trusted person. Because gynecological examination is usually very delicate. Reach the patient&#39;s heart deeply Very impressed :)"
56,"Clean, good service"
57,"Usually write a review about the actual incident to myself. Selected Siriraj Hospital Made me change my new life In the past, in the past, I was a acne clinic that was loud. When using the cream Keeping with him is good, but when the medicine runs out The cream is completely acne. Someone recommended to go to Siriraj. Part time dermatology department, the first time he went, was afraid to dare. But when meeting a doctor The doctor recommended very well. I went to the treatment according to the doctor 3 times, much better"
58,"A lot of people because it is a state hospital. Treatment fee if paid by yourself, slightly cheaper than private At the doctor&#39;s fee, only 100, but the medicine fee is fully paid, but the queue is arranged. But when actually waiting Call ahead of time If not waiting all the time, it will go to the queue. But nurses are good service Have staff at the point Just have to wait for a long time."
59,"Special clinic, Siriraj Hospital, good service, organized patient screening system Well arranged to see a doctor Making it faster Patients do not have to wait long and do not leave much residue."
60,Good
61,Service is excellent. Holding self-interest as a place 2. to take care of the patient as 1
62,"Used to treat acne at Siriraj Hospital Impressed because the doctor gave advice as well Appropriately dispense If not, don&#39;t buy. Use the medicine according to the doctor&#39;s order and get the result. The first match must be 1 month in advance. Nurses rarely recommend Some time waiting for a long time when coming"
63,"On 28/12/16 Went to check the appointment of the clinic I thought that I had a hair loss for 2 years than I had done with a skin clinic. And then go up and register at queue 60 Which is the last queue of Dr. Mor, but we asked to go to check in Naree Vej before The nurse informed me that about 1 pm to go back up to check, but at 1 pm, we still did not finish the survey. Final results for both nurses and doctors Then sit and wait for the check"
64,"Winning my doctor&#39;s disease Understood that the doctor had found a patient with cancer and was in the final stage Having to repeat again and again, may be tired of having to talk about the disease to the end-patient But with the doctor&#39;s ethics, he should not speak to stop the treatment and say that treatment is not healed. Was considered to be treated With a shouting tone and an annoying sound like that to the patient Should tell you well or inform the relatives The patient who knew it was hopeless enough. Come to see the doctor, say this to make the patient stay in despair Khun Chung is a really merciless doctor. Should improve the use of words in speaking to patients very much"
65,"Came to sleep in Siriraj Hospital, the room was good but lacked parking service"
66,Is a government hospital that provides excellent service Nurse smiling May have to go to the morning to see a doctor But waiting to see a doctor is not too long.
67,"Life is precious, sometimes not able to wait. When I come to the hospital, I usually have to do it myself, but it&#39;s better than waiting. Because the time of the doctor and the nurse is of great importance in the large hospital Therefore, anything we can help ourselves can do. Will not be a burden to anyone who is delayed"
68,The doctor gave clear advice. Easy to understand. The staff were very welcoming. Good speech.
69,"Nursing care after childbirth is very good Tell and recommend very well, especially help with breastfeeding really well. If not, the nurse is advised. To teach in everything that the mother should do We can&#39;t do anything at all. Thanks to all the nurses who really care for us."
70,"Really did not go to get treatment But donate blood Nurses and staff are very cute ... When donating blood finished, feigning fainting (at that time with friends Will pretend to play in front of Liv. The officer runs from the blood donation room. Come to ask big questions, what is it? Very impressive."
71,"Service is slow, long queue, clear, low time Pay attention to improve the service"
72,"The doctor understands the nature of the disease that is Direct medication, 2 days taking medication, no symptoms"
73,"Doctors, nurses, staff, all departments are very professional, know how to deal with various crises, including personal problems of patients themselves. And relatives of patients"
74,"He was born prematurely at Siriraj Hospital, which never thought that the government hospital would be able to service quickly. And good like this Because we are an emergency kate 25week + 5 gestational age At first, he will go to check the water, swell with a lot of vaginal discharge. But when he arrived at the hospital, when he was handed over the card, he was shocked. Just then, the staff rushed to find a wheelchair to sit. Then there are staff to wash history For a while, he took him up to the waiting room to check whether the water was real. The doctor examined the history and concluded that it was really watery. All times are very fast. Everyone is a professional, caring for patients. More than a private hospital Makes me feel very impressed"
75,"This time, went to see a doctor with irregular menstruation. Before going to consult the closest person to see a doctor. Someone said that he went to Siriraj. The first is not wanting to go. The state hospital waits for a long time. Parking is not convenient. The patient card has not been done yet. But it appears that it is not as expected We can go to apply for the patient card. By registering through the hospital website When I get the HN number, I call to request an appointment to see the doctor. Friends recommend going to a part-time clinic. The cost of treatment is a little more expensive, but soon I call to make a doctor appointment. Here, the system will be very good. When calling, the nurse will make an appointment and inform us of the queue while telling us before half an hour. At the day of the appointment, he went to see a nurse at the screening unit. At this point, it must be weighed and measured. It doesn&#39;t take long. After this, sit back and wait in the queue. Which was found by the doctor at the time (maybe before) Have a thorough examination Importantly, the doctor explained everything that the patient asked. Did not hurry to check, hurry to finish The doctor gave the ultrasound inside. To check cervical cancer While reading the ultrasound results, the doctor continued to ask our history. The result is a tumor found in the ovary. The doctor advised to dissect The next step is to send the matter to the board for many doctors to consider. Whether our case deserves surgery or not There will be a doctor in the board to call for ultrasound again. Due to the removal of the ovary, there is no sex hormone. The doctor wanted to make sure that the decision to surgery is the best way for patients. And everything is done Will have to go for a blood test, check the readiness of the body before surgery For the most safety of patients Booking is not complicated. The nurse will make an appointment at the doctor&#39;s office to perform the surgery. Then the patient can go to reserve a special room Which clearly specifies the room price, size and style of the room Including food prices Then the nurse will inform the patient before the surgery. Eating before surgery Overall, service at Siriraj Well, the most impressive The nurse talked beautifully. Safety considerations are excellent. The service process is fast. The treatment fee is not expensive compared to private hospitals. The conclusion is the most impressive at Siriraj."
76,"At the end of the year, the girlfriend went to give birth at Siriraj Hospital. Which the newborn child is quite fussing and waking up frequently But able to allow the nurse to take in the nursery room at any time without being reluctant, as well as various care is good"
77,A lot of people wait a long time without parking. Nurses are not interested in patients. Most of the doctors are young. Not enough experience Must have a medical instructor to advise
78,"Come to receive rheumatoid arthritis treatment Called in and waited in front of the doctor&#39;s room to wait for hours (actually waiting for it), but there should be a chair for the patient to wait Because each patient with this disease will have joint pain throughout To stand and wait for a long time. In this way, the patient returned home to have a relapse again (we, for example)"
79,"Doctor and nurse, delivery room, take care very well"
80,"Find a doctor, clinic, part-time, follow appointments, measure pressure, get a queue card to sit and wait in front of the doctor&#39;s room. But what is defective is Don&#39;t know which queue to call but the name does not call the number and says that it is not sorted by number And will give the queue card for? !!"
81,"The doctor and the nurse are very good and experienced, giving the knowledge to answer questions well, calmly speaking, because even though there are many patients."
82,"We took the shepherd aunt to find an allergy doctor who had already been treated with Q. That day was full, we followed the advice of the staff as a part-time clinic. Have checked, but it is back that we filed the card and told the sitting condition For 20 minutes, I did not have to wait for a long time. Some departments had to wait until the patients had completed the examination, but we understood."
83,"Orderly and not too busy, so many people are smooth and clean"
84,"There have been some changes in the service, in part, making the service faster than before, but also in the booking, payment and dispensing systems. The doctor who keeps the routine will provide information and answer very good questions."
85,People come to use the hospital a lot. Service is still good as before.
86,"The treatment section is the psychiatric department. Overall, the system here before is quite confusing. But after Siriraj adjusted to be more organized and easier to understand Adopting technology to improve the problem of people like escalators and partitioning hospitals to have services that are similar to private ones. Impressed with the accessibility options (although this section looks like a standardized service But understandable when considering the cost of living and other quality of life of Thai people) The psychiatric unit has good service and staff, both doctors and nurses are friendly, using gestures, body language and facial expressions does not make the recipient feel uncomfortable. In the case of receiving drugs Problems occur quite often. The delivery of the drug is not to forget the delivery of the drug, the service of the staff, sometimes with bad manners. (Overall, not wanting to give a low rating When the big problem is that there are not enough public health options in the country, I think that the state&#39;s management problems that make quality public hospitals like Siriraj have to bear more than other hospitals)"
87,Service is considered moderate. But depends on each department But the treatment is quite confident that it is good Because most doctors are more experienced Where to find will be a part-time clinic. Which the price compared to private is considered okay Overall okay
88,"Somdej Phra Si 10/1 Building, service is very good, even though it is an ordinary room, the doctor comes to 7am 2 time. Plan meeting again Very good"
89,Specialized doctors The medicine gives good help.
90,"Well-cared nurse, polite talk, the doctor advised to take care of himself thoroughly."
91,Yesterday I went to the health clinic at Siriraj Hospital. The first thing that is very impressive is The doctor spoke very well. Including those that were in that time to ask Is the bathroom? Or ask other matters Will answer well Very good service
92,"At first, the first floor is very busy because everyone has to pass the screening here. But when separating the floor, it will be faster Now there are escalators to help up and down conveniently."
93,"At Siriraj Hospital, he analyzes the cause of the disease for 2-3 people. For sure, if not sure, he will give the camera an additional reason"
94,The impression is that treatment with modern machines helps us to heal from illness.
95,The service is fast. But the service process is still not very clear.
96,Have a good management system The doctor is very skilled at the teacher level.
97,"1. Some doctors asked a lot, didn&#39;t get the answer, sometimes said that I didn&#39;t see the disease. 2. The next examination is not clear, the leaves are thin, should be better. 3. System to wait for the appointment, the system to buy medicine and pay some time is very slow. Probably going to pay where the hospital should be."
98,Many patients May have to wait a little longer But treatment is standard
99,"Trust, trust, trust"
100,"Went to heal many places but felt good at Siriraj even though he had waited a long time but was okay for questioning and treatment The medicine that you see will pay attention to what kind of food you should eat. Not having anything to give Even though it is a public hospital that has a lot of people, but there are enough to serve."
101,"I brought my children to the doctor at Siriraj Hospital every month. Because I had to take my child to vaccinate. I fit into the teen mother project. This project is very good. KOR project, good service, good talk, nursing students, good French children, I gave birth here and I have one brother to invite to this project. Overall service is very good, especially the structure. Ror Por."
102,"There is an opportunity to be a patient of Siriraj Hospital, which we know is a government hospital that has to support a large number of patients. But when he became a sudden patient Making it possible to know that all doctors and nurses of the public hospital are working very hard and do not have real time. In addition, the number of buildings and medical equipment is still insufficient to treat poor patients Therefore only able to donate to the foundation according to the strength that will be able to help And thank you to the doctors and nurses Including all staff of the hospital that is taking care of during the stay."
103,There are many medical experts trusting and maintaining well.
104,"Take Grandma to the knee. Both the doctor and the nurse are very cute, understand the old people, take care and are very friendly. Doctor and Nurse at the Lottery Building, 5th Floor"
105,"Doctors and nurses here work very well. I went to check my eyes from birth until now. At the age of 20, I still go to the patient. A lot of patients waiting to check One doctor received nearly 100 patients, but doctors and nurses were still smiling when accepting patients, giving explanations and explaining various matters to the patient. Even though some of them felt that these people were very tired. But doing well"
106,"Every doctor intends to act himself for the patient. Each day the doctor This hospital checks a lot of patients from morning. Dr. Weng and Vinichai, the disease, had a fever."
107,"There are a lot of people, doctors work hard, almost don&#39;t stay. But takes only 3-5 minutes to check"
108,"Good treatment. Take care of the emergency department. Everything is good, except for areas that are keeping a lot of people."
109,"The doctor is very good, but the doctor in the doctor&#39;s room is not very good."
110,"At the age of 20 days Came to see a doctor, a nurse in the building, Nariwet, then went to sit and wait for examination What is the state of the state hospital to better care for patients? But still waiting for a long time, but understand Because the day has only a lot of patients Many people in many provinces But thanked the doctor and the nurse Debt. Our experience"
111,"General service is good as it should be. The doctor who is very caring Just a lot of people use the service, making it slow. General good overall"
112,"Received examination and treatment of HVP infection in the cervix by Dr. Suthee. He had performed 3 times. The first time after Pap Smear from obstetrics was found that the cervix had abnormal infection. Having visited the doctor and examined thoroughly, found that he was in the stage of being a pre-cancerous lesion. Cin, which the doctor arranged to check every month again, was at what level Once the appointment is confirmed again, the infection is found. The doctor arranged for the endoscopy of the cervix and cut the flesh to check. Waiting to hear about 2 weeks of results There are cin3 disorders that are shocked and scared, but with the information we have prepared before and understand the things that are so much reduced. In addition, Dr. Suthee is a good doctor who is not afraid after knowing the results. The doctor made the treatment using a cone-shaped cervical cutting method called leep. The treatment will bleed after surgery for about 1 week after receiving treatment. The doctor has made an appointment to check the results. Found that it is normal, now has 3 children"
113,"Use the clinic outside the time. Until the care is good. To many users, but not frustrated Especially nurses and doctors"
114,The doctor carefully examined when found a question and sent it to a specific location.
115,"Admitted without a prescription Nurse smiling, welcome, well, weigh, measure the pressure, finish, tell me what to do. While waiting for the queue to come in and report it periodically After receiving treatment, explain how to take good care of yourself. The doctor recommended and gave the opportunity to ask questions clearly."
