,0
60,"Emergency Department, 24 June 2016, stitches, father, rats, very bad The rubbish in the heel is not removed. Until the wound has inflammation and rot If left on the day, the appointment would have cut off the heel"
61,"The parking lot should have a sign indicating where it can not be parked and the guard at that point should tell the people who come in contact with it, not standing back and looking after the lock. Than Ror.T. is a public service, not a personal place, and training each guard&#39;s words, like using vulgar words, uneducated. Unfolding so that only one point will be Sometimes it is never the phone, but when I called Pat old guard and the head of another person not polite to say, I really do not slander anyone can call to clarify 0847355004."
62,Ethics and doctors are genuine partners that should not be separated.
63,"All good But straight forward, send this hand to stand and wait at 8:10 am."
64,"Treatment is considered okay. But the parking lot should be greatly improved Because the patient came to the doctor each time there was no parking In the hospital Die hard Sick people, relatives come to visit, patients have to go to the car to pump oil and take a taxi And will come to a private car for Large, wealthy hospitals. Recommended to do at the car like in the mall. Do many layers to support the doctor Nursing Officer Patients do not have to pay attention."
65,"From the first step to the final step From men, wheelchairs, nursing assistants, and doctors, medical students, all positions make patients and relatives like me very impressed. Thank you for helping to treat the patient. Thank you."
66,Everyone is kind. Speak because it is very attentive to everything. Thank you very much... But the arrogant housewife really looked at us badly.
67,"Uncle pain in the leg, requesting to pay first, shouldn&#39;t have said this from People overtaking queues. Finance doesn&#39;t have a word to say. I think people come to the hospital. Everyone is sick too."
68,My father is sick
69,"Many nurses are good and bad. Especially the observation room. E. Fatty, bad service. Speaking very badly. If the top adults have read, leave a bad nurse to you. The emergency room is equally terrible. The kg is unlikely to be the country&#39;s leading arthritis."
70,"Would like to give 5 stars as well, sticking directly to the nurse staff, drilled blood, frustrated He bore me Probably forgot to go to the patients The pain is the same. If you don&#39;t want to work like this, you should resign. Acting really ugly"
71,"Go to the special clinic, Ear, Nose and Throat Clinic, premium. Doctor wrote a prescription before checking and takes 1-2 minutes to check. Done just to get the name already checked Don&#39;t know where to hurry .. Imagine that the patient takes an appointment. More than 2 weeks of waiting time, bad feeling"
72,Both as a leading hospital in both treatment and medical teams But what is appropriate is the quality of service since ER nurses walk in and create a bad feeling from the beginning.
73,"Since 30 years ago, the service has been very good, but the latter is very slow."
74,"Thank you to Professor Pimjai Naksarak, who gives good care to patients."
75,"The shoulder dropped to the point where there was no xray. The medicine was not very sloppy. The pain from 10 o&#39;clock until the jaw was left waiting for work to go er. The words that you should think about should be continued. Dropped out and took a thousand more hurts The nurse took the hemostatic cotton, but did not see the blood droplets. What is the sheep&#39;s own blood? The blood droplets can be flicked in front of the nurse. Say that I called you but didn&#39;t listen. After leaving this, must find a hospital near the end of several thousand because of such a sloppy treatment."
76,"The nurse here spoke very much. I told you. Some officials say that they do not feel satisfied. Why is this nurse collecting the rules? What is the question? What was the answer? Can the doctor, the doctor, Sae Hai, Kuro, the only doctor, die? It&#39;s terrible. Growing up as a big buffalo and acting and even some old people talking to him. Bad, terrible service But thanks to some doctors Some staff who help at all times. Good service."
77,"Thank you for the last 15 years that take care of mice. I might be very stubborn when I was a child. Bad habits with nurses when I was sleeping. Children 2 I am sorry Please be reconciled with R. Prama. Very good. Teaching to do many things. When sleeping. Even though today may not be lost But now heals Maharaj Chiang Mai. Today, the drugstore is very good with me. Keep it as a good feeling forever."
78,Please ask me if the doctor is keeping the child open for some days. Who knows? Please reply.
79,The nurse spoke very poorly. Do not know who is the person who will respect or not Old people scold him too
80,"Good treatment when exercising, disbursing and losing money fast"
81,"The nurse at this place spoke very badly. Some officials say that they do not feel satisfied. Why is this nurse collecting the rules? What is the question? What have you answered? What is the doctor? Doctor .... Let me wait for the doctor. Bad, terrible service But thanks to some doctors Some staff who help at all times. Good service."
82,"I would like to tell everyone that throughout my life, I have always maintained my heart. I think I am in Ramathibodi every time I come to Rarama and never have to donate to the foundation. Some very conventionally happy"
83,"Sorry, I would like to ask the Ramathibodi Hospital. About opening a donation # Old cosmetics to make up the body #A, that is still open to accept donations That is, we will open to accept donations for making merit and forward to the hospital. So I would like to know if the hospital is still open. Please contact 081-0887436 FB. Waksy JS. ID. Ib523 Request a small space to ask."
84,"I may ask When you know someone who has health problems such as people who want to lose weight Firming the arms, thighs, abdomen, increase weight, want white skin, have aura, acne, increase breasts, want to add a big long, long lasting, add more water for a long time. And people who have problems with excretion Like 2-3 days taken at and adult relatives with regular diseases such as: pressure, diabetes, heart disease, cancer If yes, please advise. Thank you very much"
85,Antenatal care nurse Very cute. Good service.
86,"Thank you to the medical team and all staff. Who was taking the time to perform the surgery. Monson&#39;s mother, 82, spent 8 hours until the mother was safe. And return to normal life again Encourage the medical team and all staff. May your family experience happiness and prosperity forever. Thank you from your heart. Thank you."
87,"Like a clean place, easy access to the building, the driver is very good, generous, helping the sick to be more agile."
88,"The best service is very good. 29. June, we will come again. Doctor appointment."
89,"The emergency room, the doctor and the nurse must be ready to work and help the sick, but what is this? Went to see and lose a lot of feelings"
90,"Poor service, especially nurses"
91,"The dad&#39;s daughter came from the clinic. I was dreaded too, because I am a human. Must not sleep in the combined room, find a special room But when entering the medical team, it is very cute It is good for both the director and the professor to take history. Entering the building of the patient building, 1st floor, 5th floor Very friendly talk He was impressed The room is actually included, but the air conditioner is very cool. It feels very good."
92,"This treatment is good. But the cost is high as well, almost collapsing enough to keep the bill out"
93,"Come to check, no one tells me what to contact Poor management system When asked to speak badly, put it on both the nurse. And children pushing the document car to hurl Is that we speak well He put a lot of emotions. I don&#39;t know. Maybe there is a personal matter. Or what has been grown up and should be able to distinguish work and personal matters, work, services, many patients"
94,"Doing good work, visiting the doctor, the nurse is quality. Then what is bad Inform the chief officer"
95,Improve the nursing service too.
96,"I don&#39;t want to give a star. Nurse, mouth, dog, medicine, medicine The disease will be attached to &quot;Do you think the brain or the big toe? As for the E, the officer said, &quot;Noamamattha Rua&quot; If you are a relative, you Let it die! I have a lot to think about working, service, learning to think. If not, go to do something else !!!"
97,"The 13th-25th day of this flu vaccine is injected. Is if we are in a risk group Take pills, peninosolone This is right? Because it is an immune disease"
98,Tomorrow .. will bring my son to revive the brain.. . I have a good doctor...
99,Thank you very much. This school has a doctor who has treated one person for many times until the age of 30. Even cancer can survive. There is no more word to say than thank you very much.
100,I doubt I have to use the service here. &quot;Shan will be so bored.&quot;
101,Good service for the first time at Ramathibodi Hospital. Very clean. Doctor said because ☺️
102,Is understandable that many patients But this emergency department is waiting to wait for 2 hours.
103,"Di Lay, Chatttharat, Srisawat In the year 52, aged 21, 22 years of age, many stomach ache. Let the generous taxis be sent From Union Mall to the hospital for 1 hour, a lot of people, doctors do not come from anywhere, both students, doctors, doctor, check in 2 hours Told Suri to have surgery because of an ectopic stomach Nhu doesn&#39;t have a set of baht, so he wants to go back home. Because of the extreme emergency and the kindness that is death But the doctor is now fine. Because of the burkun of Ramathibodi, the real edge"
104,"Nurse, screening unit, accident center and emergency medicine 4:00 pm 21 November 2015 Nurse sitting on the phone while working When the patient comes to check for facial seizures Check-up Don&#39;t ask the patient Said that it was nothing to wait for the Yellow Star Clinic But when the doctor said that he had lung infections (While waiting for foreigners to take their children to check in English Refused to call other people to talk Until the mother walked out to sit and cry Understand that many patients But must understand that it is a public service When choosing this career, should you make it better? (If you want to know the name of that nurse inbox)"
105,End of line 022004249 Do not know how to get to work Speak poorly Time for personnel to work Should consider That the service works Sick people are suffering people should have a good tone. And more friendly
106,"Receiving referrals, advice, treatment, personnel, all known duties and willingly done."
107,Learn to get employees who have a tip on their feet. Say goodbye to bad manners. No scratches. Top end # Front desk x-ray staff. Channel 1 We will come to receive treatment. Don&#39;t come begging!
108,The services of a team of doctors and nurses as well as various staff members take care of me in a friendly manner.
109,"Blood collection room, 1st floor, Phra Thep Nang glasses, sitting on the counter, bar code, service is terrible. Speak with emotion to patients Meng changed the system and did not talk to each other. Wrong documented. Walking around. Fixed several documents Will also swear in another screw Do you know about Kaeming? Yes, what the hell system is, and also free the pain in the blood and then punch again. Just the wrong document You know, if you can find a blood line, it is difficult to get hurt. I go to work here. And then plowed the fields Going to work on the buffalo. Iffi Fettfried is bad, bad nails, bad mood!"
110,"Would like to move the 3-month-old child to Ramama but get stuck in the bed problem But still receive the same answer When there is a solution for relatives, pay attention. Send the case to Rama and still be quiet. ... Boy Naaritsak Saengsang, currently preserving at the ICU room, Anandamahidol Hospital, Lopburi Province"
111,"This hospital provides good service, convenient, clean, and doctor."
112,"4 stars for doctors and nurses But if it is a very bad housekeeper, it is not good to say that the verb is not bad at all. Building 1, 9th floor"
113,"On April 28, 58, at 3 o&#39;clock in the afternoon, because of abdominal pain in the fingers of the gallbladder in the mind, thinking that the public hospital would not be good. But I found that it was Better hospital Private Hospital Whether it is a place Kindergarten nurse speaks very well. All the doctors were good until I tears. Conclude that everything is good I will leave my life with Rama Hospital. Thank you. Kulkhalakarn Mook"
114,"Is a well-developed hospital But the staff seized the color, the tone, the face, the skin, dark skin Plus not interested in patients Let stand # Officer Level 4 Laser."
115,Super Premium Clinic like private hospitals. No need to wait to queue in the morning. Come to the appointment time. Cool air.
116,"Good service, good heart, put money, sometimes very scolded"
117,"Terrible, style, work, delay, patients go in from 17.30 But got back to hit 1, what is it? There is definitely no second time here."
118,"I would like to feel very good. Doctor, nurse, staff, good service. Really good feeling Thank you all That sacrifices are friendly people"
119,"Newly born surgical surgery Thank you to everyone. Very good care, trade, surgical wounds, beautiful, no trade. My little one is healthy and healthy. :)"
120,"Our children are very naughty. Doing six spills, looking like ... We are right."
121,"Sucking system after the appointment and help on time too. Not allowing the patient to sit and wait Have business to do as well Knew that the doctor wasn&#39;t that busy But help change from morning to afternoon as well as specify the clear time If Guaruay Gou went to another hospital for a long time The cost of the medicine is not expensive. The system is still bad. Work, wait for money, go out today?"
122,"Like all doctors, nurses give great attention and advice."
123,Very bad about parking The hospital invested to make a permanent label attached to it. &quot;Parking is full&quot; is forbidden to park at all. The park that is made Only make the doctor and the officer very bad.
124,"Doctor and OPD nurse Good children provide very good services to everyone. In the same way, the drug department found the officer who thought of the price of the drug. The service was bad. Talked badly. The doctor ordered a certain amount of medicine, but when receiving the medicine, the number was not received. He replied that he could only afford to pay. We didn&#39;t understand. He asked back. Because of fear that the drug is not enough The person who thinks about the price of the drug responds that they pay this time. We asked back whether the part we paid for ourselves Because using a 30 baht card Here we are willing to pay. It will be complete. But was returned to the garden that there was no money to buy (with an unsightly tone Listen, then the mood is up. I want to curse back.) Help fight the officers. About the right words and sounds that should be heard when speaking to the service provider"
125,"The nurse, aunt, is a bit old. The second ear, nose and throat department is in the box. Both the face does not accept the reception and speaks solidly. It feels terrible. You are a nurse, should have a conscience and love for this service. If you don&#39;t want to do it, leave. The hospital is not without a reputation, and has a good standard of patient treatment. But it will lose because people like you here The hospital is trying to take it to consider improving this section too."
126,"Waiting for a long time, bad management, wasting time, wanting to have a better management system Especially welfare for students"
127,"Waiting for delivery at Rama Hospital. With Dr. Adithep Already informed from 2 May 2015 that the auspicious occasion is 6.20 hrs. Today, come to sleep, wait for preparation, cut in advance 1 day. The nurse informed that by 7:30 am, then there was a nurse in the delivery room saying that the time was wrong. Who have to prepare for 15 minutes is 6.00 am and the doctor will start to cut down the knife at 6.19 hrs. So he said that it is 6.21 hrs. The same room nurses did not speak well. The doctor may not be ok. Because tomorrow is a lot of auspicious hours, so I was shocked that 1 minute could not wait or not. Why must stress with just one minute? We have already found an auspicious time. And nurses in the delivery room here do not speak One person told this doctor that it took 15 minutes. The other person told the time to cut down on the knife and the time was the same time. Very confused."
128,Received good service
129,"Today, a lot of patients, horses ... !!! Wondering long queues ... No seats at all ... Wah ... so bad."
130,"] Today, go to family medicine as a new patient I didn&#39;t catch up with the interview room. Do not reconcile whether to come to check or not."
131,"Requesting permission to seek help from philanthropists, private physical therapy nurses outside the premises to do at home, will come early in the morning and have special fees If you are far away, can you stay at home? Anyone who knows the assistant nurse Please contact us at ️0909876767, please. ️0852108156 Mother, Mother, can&#39;t walk. Many retaining lines after leg surgery. Which cancer spread to many places If anyone knows a philanthropist Thank you for your help. Urgent. Please disturb. My mother is very fighting, but I don&#39;t know where to find it. Thank you very much Help share"
132,The hospital looks very modern. The nurse spoke well. Paver service
133,"Yesterday I came to the hospital to wait a little longer but worth the treatment. With a kind-hearted doctor Although the patient is very patient, but Dr. Kor is still smiling and polite. The doctor will pay respect to patients first. He is a spirit doctor. Beauty has compassion for patients at all levels Then he was a healer. Your heart is named Dr. Thatchapong Ngam-uods, Phra Thep building. Cardiac arrhythmias and hijackers are very good. May you prosper. Please watch with many other patients who treat you."
134,"I think the staff of the hospital do his job fully. I don&#39;t know what other people will think of, but I accept. I don&#39;t really go to the public hospital but I come here. I want to use it. Service"
135,"The service is very bad, the matter is very shirk responsibility."
136,"Some nurses, some people, the service is terrible. See the patient standing in front of the clinic&#39;s registration (teenagers). Instead of asking what they want to do, talk back. Then grab the call to talk Still good. There is another nurse. People asked me instead, but that person was not in front of the registration department."
137,"Requesting Complaint Where is the treatment Since being admitted Never answer, never explain the treatment process to the sick. The only answer is How to treat? Keep it. The more patients Don&#39;t ask much questions."
138,"Get treatment for everyone. Impressive service. Public relations, smiling, suggesting ways Clean place, stable, confident people"
139,Dr. Weng and Master are very attentive. The nurse was beautiful and good habits. The food was delicious.
140,"I am a Laotian, very well treated. Speak well. Please give me a wife."
141,"Nong Tee in front of the family medicine examination room is very cute, although not handsome, but very well explained since. 6. The morning explained all the time. Cute."
142,"Now, Rama Hospital is improving a lot. The staff is full. The staff of the wheelchair have to thank you very much because we can&#39;t go right. There, close here, open. Pushed to pray"
143,"Is the first time Come to get medicine for relatives in other provinces Come to contact from 1 pm straight Now still sitting and waiting. Have not yet waited at the dispensing zone Now 2 and a half hours have passed. No calls or anything. It was the first time and was not very impressive. Do not know if this is a misunderstanding? Probably because here a lot of people may be slow, normal, but never go to the hospital which is so slow. Thank you for the comment area."
144,"The staff at the new building, card room, date 8-02-59, go to the hospital, the staff do about to receive the privilege, counter 2, speak the dog, do not speak, no talk, no education, the park is very much, but the person does not speak well. Nurses say badly, barbaric, do like us, not people, we used to go for the first time, don&#39;t know what to ask, do not speak well."
145,"There was a serious illness in the lungs. CCU, Chao Phaya Yommarat wanted to treat Ramadan."
146,"Thank you to all the doctors, nurses and staff at the service as well."
147,If waiting for this drug for a long time Send a post to the address !!!
148,"The doctor and nurse take good care of the patient and are good-natured, speak good and good to everyone. Thank you for taking good care of the daughter. Thank you."
149,The doctor and the nurse have a sacrificial mind. And the system here is very good
